City,Country,Max Temp,Description,Lat,Lng,Hotel Name
Broken Hill,AU,75.88,broken clouds,-31.95,141.4333,Royal Exchange Hotel
Grand Gaube,MU,77.4,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
East London,ZA,67.19,broken clouds,-33.0153,27.9116,Tu Casa
Hipona,PH,75.13,overcast clouds,11.4174,122.8825,Maribert Inland Resort
Kankon,IN,75.0,broken clouds,15.0167,74.0167,Palolem Beach Resort
Tabou,CI,79.11,few clouds,4.423,-7.3528,hotêl doufoulougou
Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
Mahanje,TZ,68.43,light rain,-9.9333,35.3333,Amani social Hall
Pisco,PE,73.45,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
Lompoc,US,67.69,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
Banda Aceh,ID,75.6,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
Presidencia Roque Saenz Pena,AR,77.83,clear sky,-26.7852,-60.4388,Hotel Gualok
Bhag,PK,62.38,clear sky,29.0415,67.8239,Bukhari hotl
Asosa,ET,65.53,overcast clouds,10.0667,34.5333,Blendana Hotel Assosa
Salinopolis,BR,78.93,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
Bom Jesus,BR,77.59,overcast clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
Pau Brasil,BR,72.14,moderate rain,-15.4642,-39.6511,Tina Hotel
Sinjai,ID,76.68,overcast clouds,-5.1241,120.253,Wisma Sandika
Aswan,EG,69.91,clear sky,24.0934,32.907,Nuba Nile
Yambio,SS,72.99,broken clouds,4.5721,28.3955,Naivasha Hotel
Laem Sing,TH,68.02,few clouds,12.4816,102.0738,Laem Sing Whitehouse Resort
Lardos,GR,64.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
Taltal,CL,68.58,few clouds,-25.4,-70.4833,Residencial Karime
Pedernales,DO,78.06,clear sky,18.0384,-71.744,Hotel Costa Marina
Butterworth,MY,79.34,few clouds,5.3991,100.3638,Cititel Penang
San Quintin,MX,61.77,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
Miandrivazo,MG,74.73,light rain,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
Umkomaas,ZA,69.67,overcast clouds,-30.2067,30.7978,The Norwegian Lodge
Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
Kyaikkami,MM,69.73,overcast clouds,16.08,97.5675,St. joseph catholic church
Iguape,BR,73.26,overcast clouds,-24.7081,-47.5553,Hotel Pousada Nossa Senhora do Carmo
Bonthe,SL,79.93,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
Valparaiso,CL,66.43,clear sky,-33.0393,-71.6273,Hotel Ultramar
Pacific Grove,US,60.24,clear sky,36.6177,-121.9166,Lovers Point Inn
Port Macquarie,AU,70.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
Sibolga,ID,75.15,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
Bartica,GY,77.32,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
Saldanha,ZA,62.65,clear sky,-33.0117,17.9442,Blue Bay Lodge
Sangmelima,CM,68.25,broken clouds,2.9333,11.9833,gamestar hotel
Richards Bay,ZA,69.39,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
Kaeo,NZ,76.32,clear sky,-35.1,173.7833,Bushido Lodge
Umm Lajj,SA,77.45,clear sky,25.0213,37.2685,Moon light Furnished Units
Lahat,ID,71.58,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
Bardiyah,LY,63.77,clear sky,31.7561,25.0865,بورتو بردية
Olavarria,AR,78.87,broken clouds,-36.8927,-60.3225,Hotel Santa Rosa
Cockburn Town,TC,79.2,clear sky,21.4612,-71.1419,Osprey Beach Hotel
Dargaville,NZ,72.91,clear sky,-35.9333,173.8833,Parkview Motel
