,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,72.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
5,Cape Town,ZA,69.1,scattered clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
13,Labuhan,ID,77.09,light rain,-6.8844,112.2051,DoubleFAG
16,Rajanpur,PK,64.45,broken clouds,29.1035,70.325,Style Inn Shoes Rajanpur
19,Dingle,PH,74.79,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
23,Sao Filipe,CV,77.2,clear sky,14.8961,-24.4956,Hotel Xaguate
24,San Ignacio,BZ,75.97,light rain,17.1561,-89.0714,Rainforest Haven Inn
